,receptor,pathway,tf,tf_PPR,category,subcategory
77,ERBB3,EGFR tyrosine kinase inhibitor resistance,AKT3,0.031249497,Human Diseases,Drug resistance: antineoplastic
78,ERBB3,EGFR tyrosine kinase inhibitor resistance,EGFR,0.079631243,Human Diseases,Drug resistance: antineoplastic
79,ERBB3,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.01081719,Human Diseases,Drug resistance: antineoplastic
80,ERBB3,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.042675768,Human Diseases,Drug resistance: antineoplastic
81,ERBB3,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.042675768,Human Diseases,Drug resistance: antineoplastic
82,ERBB3,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.032491343,Human Diseases,Drug resistance: antineoplastic
83,ERBB3,EGFR tyrosine kinase inhibitor resistance,SOS1,0.029580807,Human Diseases,Drug resistance: antineoplastic
84,ERBB3,EGFR tyrosine kinase inhibitor resistance,SOS2,0.029580807,Human Diseases,Drug resistance: antineoplastic
85,ERBB3,EGFR tyrosine kinase inhibitor resistance,SRC,0.035915503,Human Diseases,Drug resistance: antineoplastic
86,ERBB3,EGFR tyrosine kinase inhibitor resistance,STAT3,0.032491343,Human Diseases,Drug resistance: antineoplastic
87,PDGFRA,EGFR tyrosine kinase inhibitor resistance,AKT1,0.036126953,Human Diseases,Drug resistance: antineoplastic
88,PDGFRA,EGFR tyrosine kinase inhibitor resistance,AKT2,0.036126953,Human Diseases,Drug resistance: antineoplastic
89,PDGFRA,EGFR tyrosine kinase inhibitor resistance,AKT3,0.036126953,Human Diseases,Drug resistance: antineoplastic
90,PDGFRA,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.012505548,Human Diseases,Drug resistance: antineoplastic
91,PDGFRA,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.049336648,Human Diseases,Drug resistance: antineoplastic
92,PDGFRA,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.049336648,Human Diseases,Drug resistance: antineoplastic
93,PDGFRA,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.037562627,Human Diseases,Drug resistance: antineoplastic
94,PDGFRA,EGFR tyrosine kinase inhibitor resistance,SOS1,0.034197811,Human Diseases,Drug resistance: antineoplastic
95,PDGFRA,EGFR tyrosine kinase inhibitor resistance,SOS2,0.034197811,Human Diseases,Drug resistance: antineoplastic
96,PDGFRA,EGFR tyrosine kinase inhibitor resistance,SRC,0.041521233,Human Diseases,Drug resistance: antineoplastic
97,PDGFRA,EGFR tyrosine kinase inhibitor resistance,STAT3,0.037562627,Human Diseases,Drug resistance: antineoplastic
98,AXL,EGFR tyrosine kinase inhibitor resistance,AKT1,0.036126953,Human Diseases,Drug resistance: antineoplastic
99,AXL,EGFR tyrosine kinase inhibitor resistance,AKT2,0.036126953,Human Diseases,Drug resistance: antineoplastic
100,AXL,EGFR tyrosine kinase inhibitor resistance,AKT3,0.036126953,Human Diseases,Drug resistance: antineoplastic
101,AXL,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.012505548,Human Diseases,Drug resistance: antineoplastic
102,AXL,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.049336648,Human Diseases,Drug resistance: antineoplastic
103,AXL,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.049336648,Human Diseases,Drug resistance: antineoplastic
104,AXL,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.037562627,Human Diseases,Drug resistance: antineoplastic
105,AXL,EGFR tyrosine kinase inhibitor resistance,SOS1,0.034197811,Human Diseases,Drug resistance: antineoplastic
106,AXL,EGFR tyrosine kinase inhibitor resistance,SOS2,0.034197811,Human Diseases,Drug resistance: antineoplastic
107,AXL,EGFR tyrosine kinase inhibitor resistance,SRC,0.041521233,Human Diseases,Drug resistance: antineoplastic
108,AXL,EGFR tyrosine kinase inhibitor resistance,STAT3,0.037562627,Human Diseases,Drug resistance: antineoplastic
109,IGF1R,EGFR tyrosine kinase inhibitor resistance,AKT1,0.036126953,Human Diseases,Drug resistance: antineoplastic
110,IGF1R,EGFR tyrosine kinase inhibitor resistance,AKT2,0.036126953,Human Diseases,Drug resistance: antineoplastic
111,IGF1R,EGFR tyrosine kinase inhibitor resistance,AKT3,0.036126953,Human Diseases,Drug resistance: antineoplastic
112,IGF1R,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.012505548,Human Diseases,Drug resistance: antineoplastic
113,IGF1R,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.049336648,Human Diseases,Drug resistance: antineoplastic
114,IGF1R,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.049336648,Human Diseases,Drug resistance: antineoplastic
115,IGF1R,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.037562627,Human Diseases,Drug resistance: antineoplastic
116,IGF1R,EGFR tyrosine kinase inhibitor resistance,SOS1,0.034197811,Human Diseases,Drug resistance: antineoplastic
117,IGF1R,EGFR tyrosine kinase inhibitor resistance,SOS2,0.034197811,Human Diseases,Drug resistance: antineoplastic
118,IGF1R,EGFR tyrosine kinase inhibitor resistance,SRC,0.041521233,Human Diseases,Drug resistance: antineoplastic
119,IGF1R,EGFR tyrosine kinase inhibitor resistance,STAT3,0.037562627,Human Diseases,Drug resistance: antineoplastic
120,KDR,EGFR tyrosine kinase inhibitor resistance,AKT1,0.036126953,Human Diseases,Drug resistance: antineoplastic
121,KDR,EGFR tyrosine kinase inhibitor resistance,AKT2,0.036126953,Human Diseases,Drug resistance: antineoplastic
122,KDR,EGFR tyrosine kinase inhibitor resistance,AKT3,0.036126953,Human Diseases,Drug resistance: antineoplastic
123,KDR,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.012505548,Human Diseases,Drug resistance: antineoplastic
124,KDR,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.049336648,Human Diseases,Drug resistance: antineoplastic
125,KDR,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.049336648,Human Diseases,Drug resistance: antineoplastic
126,KDR,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.037562627,Human Diseases,Drug resistance: antineoplastic
127,KDR,EGFR tyrosine kinase inhibitor resistance,SOS1,0.034197811,Human Diseases,Drug resistance: antineoplastic
128,KDR,EGFR tyrosine kinase inhibitor resistance,SOS2,0.034197811,Human Diseases,Drug resistance: antineoplastic
129,KDR,EGFR tyrosine kinase inhibitor resistance,SRC,0.041521233,Human Diseases,Drug resistance: antineoplastic
130,KDR,EGFR tyrosine kinase inhibitor resistance,STAT3,0.037562627,Human Diseases,Drug resistance: antineoplastic
131,FGFR3,EGFR tyrosine kinase inhibitor resistance,AKT1,0.036126953,Human Diseases,Drug resistance: antineoplastic
132,FGFR3,EGFR tyrosine kinase inhibitor resistance,AKT2,0.036126953,Human Diseases,Drug resistance: antineoplastic
133,FGFR3,EGFR tyrosine kinase inhibitor resistance,AKT3,0.036126953,Human Diseases,Drug resistance: antineoplastic
134,FGFR3,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.012505548,Human Diseases,Drug resistance: antineoplastic
135,FGFR3,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.049336648,Human Diseases,Drug resistance: antineoplastic
136,FGFR3,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.049336648,Human Diseases,Drug resistance: antineoplastic
137,FGFR3,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.037562627,Human Diseases,Drug resistance: antineoplastic
138,FGFR3,EGFR tyrosine kinase inhibitor resistance,SOS1,0.034197811,Human Diseases,Drug resistance: antineoplastic
139,FGFR3,EGFR tyrosine kinase inhibitor resistance,SOS2,0.034197811,Human Diseases,Drug resistance: antineoplastic
140,FGFR3,EGFR tyrosine kinase inhibitor resistance,SRC,0.041521233,Human Diseases,Drug resistance: antineoplastic
141,FGFR3,EGFR tyrosine kinase inhibitor resistance,STAT3,0.037562627,Human Diseases,Drug resistance: antineoplastic
142,EGFR_ERBB2,EGFR tyrosine kinase inhibitor resistance,AKT1,0.03378324,Human Diseases,Drug resistance: antineoplastic
143,EGFR_ERBB2,EGFR tyrosine kinase inhibitor resistance,AKT2,0.03378324,Human Diseases,Drug resistance: antineoplastic
144,EGFR_ERBB2,EGFR tyrosine kinase inhibitor resistance,AKT3,0.03378324,Human Diseases,Drug resistance: antineoplastic
145,EGFR_ERBB2,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.011694259,Human Diseases,Drug resistance: antineoplastic
146,EGFR_ERBB2,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.046135966,Human Diseases,Drug resistance: antineoplastic
147,EGFR_ERBB2,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.046135966,Human Diseases,Drug resistance: antineoplastic
148,EGFR_ERBB2,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.035125776,Human Diseases,Drug resistance: antineoplastic
149,EGFR_ERBB2,EGFR tyrosine kinase inhibitor resistance,SOS1,0.031979251,Human Diseases,Drug resistance: antineoplastic
150,EGFR_ERBB2,EGFR tyrosine kinase inhibitor resistance,SOS2,0.031979251,Human Diseases,Drug resistance: antineoplastic
151,EGFR_ERBB2,EGFR tyrosine kinase inhibitor resistance,SRC,0.038827571,Human Diseases,Drug resistance: antineoplastic
152,EGFR_ERBB2,EGFR tyrosine kinase inhibitor resistance,STAT3,0.035125776,Human Diseases,Drug resistance: antineoplastic
153,ERBB2_ERBB4,EGFR tyrosine kinase inhibitor resistance,AKT1,0.03378324,Human Diseases,Drug resistance: antineoplastic
154,ERBB2_ERBB4,EGFR tyrosine kinase inhibitor resistance,AKT2,0.03378324,Human Diseases,Drug resistance: antineoplastic
155,ERBB2_ERBB4,EGFR tyrosine kinase inhibitor resistance,AKT3,0.03378324,Human Diseases,Drug resistance: antineoplastic
156,ERBB2_ERBB4,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.011694259,Human Diseases,Drug resistance: antineoplastic
157,ERBB2_ERBB4,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.046135966,Human Diseases,Drug resistance: antineoplastic
158,ERBB2_ERBB4,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.046135966,Human Diseases,Drug resistance: antineoplastic
159,ERBB2_ERBB4,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.035125776,Human Diseases,Drug resistance: antineoplastic
160,ERBB2_ERBB4,EGFR tyrosine kinase inhibitor resistance,SOS1,0.031979251,Human Diseases,Drug resistance: antineoplastic
161,ERBB2_ERBB4,EGFR tyrosine kinase inhibitor resistance,SOS2,0.031979251,Human Diseases,Drug resistance: antineoplastic
162,ERBB2_ERBB4,EGFR tyrosine kinase inhibitor resistance,SRC,0.038827571,Human Diseases,Drug resistance: antineoplastic
163,ERBB2_ERBB4,EGFR tyrosine kinase inhibitor resistance,STAT3,0.035125776,Human Diseases,Drug resistance: antineoplastic
164,ERBB2_ERBB3,EGFR tyrosine kinase inhibitor resistance,AKT1,0.031249497,Human Diseases,Drug resistance: antineoplastic
165,ERBB2_ERBB3,EGFR tyrosine kinase inhibitor resistance,AKT2,0.031249497,Human Diseases,Drug resistance: antineoplastic
166,ERBB2_ERBB3,EGFR tyrosine kinase inhibitor resistance,AKT3,0.031249497,Human Diseases,Drug resistance: antineoplastic
167,ERBB2_ERBB3,EGFR tyrosine kinase inhibitor resistance,EGFR,0.079631243,Human Diseases,Drug resistance: antineoplastic
168,ERBB2_ERBB3,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.01081719,Human Diseases,Drug resistance: antineoplastic
169,ERBB2_ERBB3,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.042675768,Human Diseases,Drug resistance: antineoplastic
170,ERBB2_ERBB3,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.042675768,Human Diseases,Drug resistance: antineoplastic
171,ERBB2_ERBB3,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.032491343,Human Diseases,Drug resistance: antineoplastic
172,ERBB2_ERBB3,EGFR tyrosine kinase inhibitor resistance,SOS1,0.029580807,Human Diseases,Drug resistance: antineoplastic
173,ERBB2_ERBB3,EGFR tyrosine kinase inhibitor resistance,SOS2,0.029580807,Human Diseases,Drug resistance: antineoplastic
174,ERBB2_ERBB3,EGFR tyrosine kinase inhibitor resistance,SRC,0.035915503,Human Diseases,Drug resistance: antineoplastic
175,ERBB2_ERBB3,EGFR tyrosine kinase inhibitor resistance,STAT3,0.032491343,Human Diseases,Drug resistance: antineoplastic
176,FLT1_KDR,EGFR tyrosine kinase inhibitor resistance,AKT1,0.036126953,Human Diseases,Drug resistance: antineoplastic
177,FLT1_KDR,EGFR tyrosine kinase inhibitor resistance,AKT2,0.036126953,Human Diseases,Drug resistance: antineoplastic
178,FLT1_KDR,EGFR tyrosine kinase inhibitor resistance,AKT3,0.036126953,Human Diseases,Drug resistance: antineoplastic
179,FLT1_KDR,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.012505548,Human Diseases,Drug resistance: antineoplastic
180,FLT1_KDR,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.049336648,Human Diseases,Drug resistance: antineoplastic
181,FLT1_KDR,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.049336648,Human Diseases,Drug resistance: antineoplastic
182,FLT1_KDR,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.037562627,Human Diseases,Drug resistance: antineoplastic
183,FLT1_KDR,EGFR tyrosine kinase inhibitor resistance,SOS1,0.034197811,Human Diseases,Drug resistance: antineoplastic
184,FLT1_KDR,EGFR tyrosine kinase inhibitor resistance,SOS2,0.034197811,Human Diseases,Drug resistance: antineoplastic
185,FLT1_KDR,EGFR tyrosine kinase inhibitor resistance,SRC,0.041521233,Human Diseases,Drug resistance: antineoplastic
186,FLT1_KDR,EGFR tyrosine kinase inhibitor resistance,STAT3,0.037562627,Human Diseases,Drug resistance: antineoplastic
187,FLT4_KDR,EGFR tyrosine kinase inhibitor resistance,AKT1,0.036126953,Human Diseases,Drug resistance: antineoplastic
188,FLT4_KDR,EGFR tyrosine kinase inhibitor resistance,AKT2,0.036126953,Human Diseases,Drug resistance: antineoplastic
189,FLT4_KDR,EGFR tyrosine kinase inhibitor resistance,AKT3,0.036126953,Human Diseases,Drug resistance: antineoplastic
190,FLT4_KDR,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.012505548,Human Diseases,Drug resistance: antineoplastic
191,FLT4_KDR,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.049336648,Human Diseases,Drug resistance: antineoplastic
192,FLT4_KDR,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.049336648,Human Diseases,Drug resistance: antineoplastic
193,FLT4_KDR,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.037562627,Human Diseases,Drug resistance: antineoplastic
194,FLT4_KDR,EGFR tyrosine kinase inhibitor resistance,SOS1,0.034197811,Human Diseases,Drug resistance: antineoplastic
195,FLT4_KDR,EGFR tyrosine kinase inhibitor resistance,SOS2,0.034197811,Human Diseases,Drug resistance: antineoplastic
196,FLT4_KDR,EGFR tyrosine kinase inhibitor resistance,SRC,0.041521233,Human Diseases,Drug resistance: antineoplastic
197,FLT4_KDR,EGFR tyrosine kinase inhibitor resistance,STAT3,0.037562627,Human Diseases,Drug resistance: antineoplastic
198,IL6R_IL6ST,EGFR tyrosine kinase inhibitor resistance,AKT1,0.036126953,Human Diseases,Drug resistance: antineoplastic
199,IL6R_IL6ST,EGFR tyrosine kinase inhibitor resistance,AKT2,0.036126953,Human Diseases,Drug resistance: antineoplastic
200,IL6R_IL6ST,EGFR tyrosine kinase inhibitor resistance,AKT3,0.036126953,Human Diseases,Drug resistance: antineoplastic
201,IL6R_IL6ST,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.012505548,Human Diseases,Drug resistance: antineoplastic
202,IL6R_IL6ST,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.049336648,Human Diseases,Drug resistance: antineoplastic
203,IL6R_IL6ST,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.049336648,Human Diseases,Drug resistance: antineoplastic
204,IL6R_IL6ST,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.037562627,Human Diseases,Drug resistance: antineoplastic
205,IL6R_IL6ST,EGFR tyrosine kinase inhibitor resistance,SOS1,0.034197811,Human Diseases,Drug resistance: antineoplastic
206,IL6R_IL6ST,EGFR tyrosine kinase inhibitor resistance,SOS2,0.034197811,Human Diseases,Drug resistance: antineoplastic
207,IL6R_IL6ST,EGFR tyrosine kinase inhibitor resistance,SRC,0.041521233,Human Diseases,Drug resistance: antineoplastic
208,IL6R_IL6ST,EGFR tyrosine kinase inhibitor resistance,STAT3,0.037562627,Human Diseases,Drug resistance: antineoplastic
209,PLXNA1_KDR,EGFR tyrosine kinase inhibitor resistance,AKT1,0.036126953,Human Diseases,Drug resistance: antineoplastic
210,PLXNA1_KDR,EGFR tyrosine kinase inhibitor resistance,AKT2,0.036126953,Human Diseases,Drug resistance: antineoplastic
211,PLXNA1_KDR,EGFR tyrosine kinase inhibitor resistance,AKT3,0.036126953,Human Diseases,Drug resistance: antineoplastic
212,PLXNA1_KDR,EGFR tyrosine kinase inhibitor resistance,FOXO3,0.012505548,Human Diseases,Drug resistance: antineoplastic
213,PLXNA1_KDR,EGFR tyrosine kinase inhibitor resistance,MAPK1,0.049336648,Human Diseases,Drug resistance: antineoplastic
214,PLXNA1_KDR,EGFR tyrosine kinase inhibitor resistance,MAPK3,0.049336648,Human Diseases,Drug resistance: antineoplastic
215,PLXNA1_KDR,EGFR tyrosine kinase inhibitor resistance,PRKCA,0.037562627,Human Diseases,Drug resistance: antineoplastic
216,PLXNA1_KDR,EGFR tyrosine kinase inhibitor resistance,SOS1,0.034197811,Human Diseases,Drug resistance: antineoplastic
217,PLXNA1_KDR,EGFR tyrosine kinase inhibitor resistance,SOS2,0.034197811,Human Diseases,Drug resistance: antineoplastic
218,PLXNA1_KDR,EGFR tyrosine kinase inhibitor resistance,SRC,0.041521233,Human Diseases,Drug resistance: antineoplastic
219,PLXNA1_KDR,EGFR tyrosine kinase inhibitor resistance,STAT3,0.037562627,Human Diseases,Drug resistance: antineoplastic
220,EGFR,Endocrine resistance,AKT1,0.056242664,Human Diseases,Drug resistance: antineoplastic
221,EGFR,Endocrine resistance,AKT2,0.056242664,Human Diseases,Drug resistance: antineoplastic
222,EGFR,Endocrine resistance,AKT3,0.056242664,Human Diseases,Drug resistance: antineoplastic
223,EGFR,Endocrine resistance,ESR1,0.058252955,Human Diseases,Drug resistance: antineoplastic
224,EGFR,Endocrine resistance,ESR2,0.058252955,Human Diseases,Drug resistance: antineoplastic
225,EGFR,Endocrine resistance,FOS,0.058027476,Human Diseases,Drug resistance: antineoplastic
226,EGFR,Endocrine resistance,JUN,0.058027476,Human Diseases,Drug resistance: antineoplastic
227,EGFR,Endocrine resistance,MAPK1,0.024492236,Human Diseases,Drug resistance: antineoplastic
228,EGFR,Endocrine resistance,MAPK3,0.024492236,Human Diseases,Drug resistance: antineoplastic
229,EGFR,Endocrine resistance,SOS1,0.046823036,Human Diseases,Drug resistance: antineoplastic
230,EGFR,Endocrine resistance,SOS2,0.046823036,Human Diseases,Drug resistance: antineoplastic
231,EGFR,Endocrine resistance,SP1,0.037209075,Human Diseases,Drug resistance: antineoplastic
232,EGFR,Endocrine resistance,SRC,0.028347533,Human Diseases,Drug resistance: antineoplastic
233,EGFR,Endocrine resistance,MED1,0.117870226,Human Diseases,Drug resistance: antineoplastic
234,EGFR,Endocrine resistance,NCOA3,0.117870226,Human Diseases,Drug resistance: antineoplastic
