,from,to,pathway,type
207,BMP7,BMPR1B_ACVR2B,BMP,Secreted Signaling
208,BMP7,BMPR1B,BMP,Secreted Signaling
209,BMP7,ACVR2B,BMP,Secreted Signaling
210,BMP7,BMPR1B_BMPR2,BMP,Secreted Signaling
211,BMP7,BMPR1B,BMP,Secreted Signaling
212,BMP7,BMPR2,BMP,Secreted Signaling
213,BMP8A,ACVR1_ACVR2A,BMP,Secreted Signaling
214,BMP8A,ACVR1,BMP,Secreted Signaling
215,BMP8A,ACVR2A,BMP,Secreted Signaling
216,BMP8A,ACVR1_ACVR2B,BMP,Secreted Signaling
217,BMP8A,ACVR1,BMP,Secreted Signaling
218,BMP8A,ACVR2B,BMP,Secreted Signaling
219,BMP8A,ACVR1_BMPR2,BMP,Secreted Signaling
220,BMP8A,ACVR1,BMP,Secreted Signaling
221,BMP8A,BMPR2,BMP,Secreted Signaling
222,BMP8A,BMPR1A_ACVR2A,BMP,Secreted Signaling
223,BMP8A,BMPR1A,BMP,Secreted Signaling
224,BMP8A,ACVR2A,BMP,Secreted Signaling
225,BMP8A,BMPR1A_ACVR2B,BMP,Secreted Signaling
226,BMP8A,BMPR1A,BMP,Secreted Signaling
227,BMP8A,ACVR2B,BMP,Secreted Signaling
228,BMP8A,BMPR1A_BMPR2,BMP,Secreted Signaling
229,BMP8A,BMPR1A,BMP,Secreted Signaling
230,BMP8A,BMPR2,BMP,Secreted Signaling
231,BMP8A,BMPR1B_ACVR2A,BMP,Secreted Signaling
232,BMP8A,BMPR1B,BMP,Secreted Signaling
233,BMP8A,ACVR2A,BMP,Secreted Signaling
234,BMP8A,BMPR1B_ACVR2B,BMP,Secreted Signaling
235,BMP8A,BMPR1B,BMP,Secreted Signaling
236,BMP8A,ACVR2B,BMP,Secreted Signaling
237,BMP8A,BMPR1B_BMPR2,BMP,Secreted Signaling
238,BMP8A,BMPR1B,BMP,Secreted Signaling
239,BMP8A,BMPR2,BMP,Secreted Signaling
240,BMP8B,ACVR1_ACVR2A,BMP,Secreted Signaling
241,BMP8B,ACVR1,BMP,Secreted Signaling
242,BMP8B,ACVR2A,BMP,Secreted Signaling
243,BMP8B,ACVR1_ACVR2B,BMP,Secreted Signaling
244,BMP8B,ACVR1,BMP,Secreted Signaling
245,BMP8B,ACVR2B,BMP,Secreted Signaling
246,BMP8B,ACVR1_BMPR2,BMP,Secreted Signaling
247,BMP8B,ACVR1,BMP,Secreted Signaling
248,BMP8B,BMPR2,BMP,Secreted Signaling
249,BMP8B,BMPR1A_ACVR2A,BMP,Secreted Signaling
250,BMP8B,BMPR1A,BMP,Secreted Signaling
251,BMP8B,ACVR2A,BMP,Secreted Signaling
252,BMP8B,BMPR1A_ACVR2B,BMP,Secreted Signaling
253,BMP8B,BMPR1A,BMP,Secreted Signaling
254,BMP8B,ACVR2B,BMP,Secreted Signaling
255,BMP8B,BMPR1A_BMPR2,BMP,Secreted Signaling
256,BMP8B,BMPR1A,BMP,Secreted Signaling
257,BMP8B,BMPR2,BMP,Secreted Signaling
258,BMP8B,BMPR1B_ACVR2A,BMP,Secreted Signaling
259,BMP8B,BMPR1B,BMP,Secreted Signaling
260,BMP8B,ACVR2A,BMP,Secreted Signaling
261,BMP8B,BMPR1B_ACVR2B,BMP,Secreted Signaling
262,BMP8B,BMPR1B,BMP,Secreted Signaling
263,BMP8B,ACVR2B,BMP,Secreted Signaling
264,BMP8B,BMPR1B_BMPR2,BMP,Secreted Signaling
265,BMP8B,BMPR1B,BMP,Secreted Signaling
266,BMP8B,BMPR2,BMP,Secreted Signaling
267,BMP10,ACVRL1_BMPR2,BMP10,Secreted Signaling
268,BMP10,ACVRL1,BMP10,Secreted Signaling
269,BMP10,BMPR2,BMP10,Secreted Signaling
270,BMP10,ACVRL1_ACVR2A,BMP10,Secreted Signaling
271,BMP10,ACVRL1,BMP10,Secreted Signaling
272,BMP10,ACVR2A,BMP10,Secreted Signaling
273,GDF2,ACVRL1_BMPR2,BMP10,Secreted Signaling
274,GDF2,ACVRL1,BMP10,Secreted Signaling
275,GDF2,BMPR2,BMP10,Secreted Signaling
276,GDF2,ACVRL1_ACVR2A,BMP10,Secreted Signaling
277,GDF2,ACVRL1,BMP10,Secreted Signaling
278,GDF2,ACVR2A,BMP10,Secreted Signaling
279,GDF9,ACVR1B_BMPR2,GDF,Secreted Signaling
280,GDF9,ACVR1B,GDF,Secreted Signaling
281,GDF9,BMPR2,GDF,Secreted Signaling
282,GDF10,ACVR1B_ACVR2A,GDF,Secreted Signaling
283,GDF10,ACVR1B,GDF,Secreted Signaling
284,GDF10,ACVR2A,GDF,Secreted Signaling
285,GDF11,TGFBR1_ACVR2A,GDF,Secreted Signaling
286,GDF11,TGFBR1,GDF,Secreted Signaling
287,GDF11,ACVR2A,GDF,Secreted Signaling
288,GDF11,TGFBR1_ACVR2B,GDF,Secreted Signaling
289,GDF11,TGFBR1,GDF,Secreted Signaling
290,GDF11,ACVR2B,GDF,Secreted Signaling
291,GDF11,ACVR1B_ACVR2B,GDF,Secreted Signaling
292,GDF11,ACVR1B,GDF,Secreted Signaling
293,GDF11,ACVR2B,GDF,Secreted Signaling
294,GDF15,TGFBR2,GDF,Secreted Signaling
295,MSTN,TGFBR1_ACVR2B,MSTN,Secreted Signaling
296,MSTN,TGFBR1,MSTN,Secreted Signaling
297,MSTN,ACVR2B,MSTN,Secreted Signaling
298,MSTN,ACVR1B_ACVR2B,MSTN,Secreted Signaling
299,MSTN,ACVR1B,MSTN,Secreted Signaling
300,MSTN,ACVR2B,MSTN,Secreted Signaling
301,MSTN,ACVR1B_ACVR2A,MSTN,Secreted Signaling
302,MSTN,ACVR1B,MSTN,Secreted Signaling
303,MSTN,ACVR2A,MSTN,Secreted Signaling
304,MSTN,TGFBR1_ACVR2A,MSTN,Secreted Signaling
305,MSTN,TGFBR1,MSTN,Secreted Signaling
306,MSTN,ACVR2A,MSTN,Secreted Signaling
307,AMH,AMHR2_ACVR1,AMH,Secreted Signaling
308,AMH,AMHR2,AMH,Secreted Signaling
309,AMH,ACVR1,AMH,Secreted Signaling
310,AMH,AMHR2_BMPR1A,AMH,Secreted Signaling
311,AMH,AMHR2,AMH,Secreted Signaling
312,AMH,BMPR1A,AMH,Secreted Signaling
313,GDNF,GFRA1_RET,GDNF,Secreted Signaling
314,GDNF,GFRA1,GDNF,Secreted Signaling
315,GDNF,RET,GDNF,Secreted Signaling
316,NRTN,GFRA2_RET,GDNF,Secreted Signaling
317,NRTN,GFRA2,GDNF,Secreted Signaling
318,NRTN,RET,GDNF,Secreted Signaling
319,ARTN,GFRA3_RET,GDNF,Secreted Signaling
320,ARTN,GFRA3,GDNF,Secreted Signaling
321,ARTN,RET,GDNF,Secreted Signaling
322,PSPN,GFRA4_RET,GDNF,Secreted Signaling
323,PSPN,GFRA4,GDNF,Secreted Signaling
324,PSPN,RET,GDNF,Secreted Signaling
325,ARTN,GFRA1_RET,GDNF,Secreted Signaling
326,ARTN,GFRA1,GDNF,Secreted Signaling
327,ARTN,RET,GDNF,Secreted Signaling
328,NODAL,ACVR1B_ACVR2A_CFC1,NODAL,Secreted Signaling
329,NODAL,ACVR1B,NODAL,Secreted Signaling
330,NODAL,ACVR2A,NODAL,Secreted Signaling
331,NODAL,CFC1,NODAL,Secreted Signaling
332,NODAL,ACVR1C_ACVR2A_CFC1,NODAL,Secreted Signaling
333,NODAL,ACVR1C,NODAL,Secreted Signaling
334,NODAL,ACVR2A,NODAL,Secreted Signaling
335,NODAL,CFC1,NODAL,Secreted Signaling
336,NODAL,ACVR1B_ACVR2B_CFC1,NODAL,Secreted Signaling
337,NODAL,ACVR1B,NODAL,Secreted Signaling
338,NODAL,ACVR2B,NODAL,Secreted Signaling
339,NODAL,CFC1,NODAL,Secreted Signaling
340,NODAL,ACVR1C_ACVR2B_CFC1,NODAL,Secreted Signaling
341,NODAL,ACVR1C,NODAL,Secreted Signaling
342,NODAL,ACVR2B,NODAL,Secreted Signaling
343,NODAL,CFC1,NODAL,Secreted Signaling
344,GDF1,ACVR1B_ACVR2A_CFC1,NODAL,Secreted Signaling
345,GDF1,ACVR1B,NODAL,Secreted Signaling
346,GDF1,ACVR2A,NODAL,Secreted Signaling
347,GDF1,CFC1,NODAL,Secreted Signaling
348,GDF1,ACVR1B_ACVR2B_CFC1,NODAL,Secreted Signaling
349,GDF1,ACVR1B,NODAL,Secreted Signaling
350,GDF1,ACVR2B,NODAL,Secreted Signaling
351,GDF1,CFC1,NODAL,Secreted Signaling
352,GDF1,ACVR1C_ACVR2A_CFC1,NODAL,Secreted Signaling
353,GDF1,ACVR1C,NODAL,Secreted Signaling
354,GDF1,ACVR2A,NODAL,Secreted Signaling
355,GDF1,CFC1,NODAL,Secreted Signaling
356,GDF1,ACVR1C_ACVR2B_CFC1,NODAL,Secreted Signaling
357,GDF1,ACVR1C,NODAL,Secreted Signaling
358,GDF1,ACVR2B,NODAL,Secreted Signaling
359,GDF1,CFC1,NODAL,Secreted Signaling
360,GDF3,ACVR1B_ACVR2A_CFC1,NODAL,Secreted Signaling
361,GDF3,ACVR1B,NODAL,Secreted Signaling
362,GDF3,ACVR2A,NODAL,Secreted Signaling
363,GDF3,CFC1,NODAL,Secreted Signaling
364,GDF3,ACVR1B_ACVR2B_CFC1,NODAL,Secreted Signaling
365,GDF3,ACVR1B,NODAL,Secreted Signaling
366,GDF3,ACVR2B,NODAL,Secreted Signaling
367,GDF3,CFC1,NODAL,Secreted Signaling
368,GDF3,ACVR1C_ACVR2A_CFC1,NODAL,Secreted Signaling
369,GDF3,ACVR1C,NODAL,Secreted Signaling
370,GDF3,ACVR2A,NODAL,Secreted Signaling
371,GDF3,CFC1,NODAL,Secreted Signaling
372,GDF3,ACVR1C_ACVR2B_CFC1,NODAL,Secreted Signaling
373,GDF3,ACVR1C,NODAL,Secreted Signaling
374,GDF3,ACVR2B,NODAL,Secreted Signaling
375,GDF3,CFC1,NODAL,Secreted Signaling
376,INHBA,ACVR1B_ACVR2A,ACTIVIN,Secreted Signaling
377,INHBA,ACVR1B,ACTIVIN,Secreted Signaling
378,INHBA,ACVR2A,ACTIVIN,Secreted Signaling
379,INHBA,ACVR1B_ACVR2B,ACTIVIN,Secreted Signaling
380,INHBA,ACVR1B,ACTIVIN,Secreted Signaling
381,INHBA,ACVR2B,ACTIVIN,Secreted Signaling
382,INHBB,ACVR1B_ACVR2A,ACTIVIN,Secreted Signaling
383,INHBB,ACVR1B,ACTIVIN,Secreted Signaling
384,INHBB,ACVR2A,ACTIVIN,Secreted Signaling
385,INHBB,ACVR1B_ACVR2B,ACTIVIN,Secreted Signaling
386,INHBB,ACVR1B,ACTIVIN,Secreted Signaling
387,INHBB,ACVR2B,ACTIVIN,Secreted Signaling
388,INHBB,ACVR1C_ACVR2A,ACTIVIN,Secreted Signaling
389,INHBB,ACVR1C,ACTIVIN,Secreted Signaling
390,INHBB,ACVR2A,ACTIVIN,Secreted Signaling
391,INHBB,ACVR1C_ACVR2B,ACTIVIN,Secreted Signaling
392,INHBB,ACVR1C,ACTIVIN,Secreted Signaling
393,INHBB,ACVR2B,ACTIVIN,Secreted Signaling
394,INHBC,ACVR1B_ACVR2A,ACTIVIN,Secreted Signaling
395,INHBC,ACVR1B,ACTIVIN,Secreted Signaling
396,INHBC,ACVR2A,ACTIVIN,Secreted Signaling
397,INHBC,ACVR1B_ACVR2B,ACTIVIN,Secreted Signaling
398,INHBC,ACVR1B,ACTIVIN,Secreted Signaling
399,INHBC,ACVR2B,ACTIVIN,Secreted Signaling
400,INHBC,ACVR1C_ACVR2A,ACTIVIN,Secreted Signaling
401,INHBC,ACVR1C,ACTIVIN,Secreted Signaling
402,INHBC,ACVR2A,ACTIVIN,Secreted Signaling
403,INHBC,ACVR1C_ACVR2B,ACTIVIN,Secreted Signaling
404,INHBC,ACVR1C,ACTIVIN,Secreted Signaling
405,INHBC,ACVR2B,ACTIVIN,Secreted Signaling
406,INHBE,ACVR1B_ACVR2A,ACTIVIN,Secreted Signaling
407,INHBE,ACVR1B,ACTIVIN,Secreted Signaling
408,INHBE,ACVR2A,ACTIVIN,Secreted Signaling
409,INHBE,ACVR1B_ACVR2B,ACTIVIN,Secreted Signaling
410,INHBE,ACVR1B,ACTIVIN,Secreted Signaling
411,INHBE,ACVR2B,ACTIVIN,Secreted Signaling
412,INHBE,ACVR1C_ACVR2A,ACTIVIN,Secreted Signaling
413,INHBE,ACVR1C,ACTIVIN,Secreted Signaling
414,INHBE,ACVR2A,ACTIVIN,Secreted Signaling
415,INHBE,ACVR1C_ACVR2B,ACTIVIN,Secreted Signaling
416,INHBE,ACVR1C,ACTIVIN,Secreted Signaling
417,INHBE,ACVR2B,ACTIVIN,Secreted Signaling
418,INHBA_INHBB,ACVR1B_ACVR2A,ACTIVIN,Secreted Signaling
419,INHBA_INHBB,ACVR1B,ACTIVIN,Secreted Signaling
420,INHBA_INHBB,ACVR2A,ACTIVIN,Secreted Signaling
421,INHBA,ACVR1B_ACVR2A,ACTIVIN,Secreted Signaling
422,INHBA,ACVR1B,ACTIVIN,Secreted Signaling
423,INHBA,ACVR2A,ACTIVIN,Secreted Signaling
424,INHBB,ACVR1B_ACVR2A,ACTIVIN,Secreted Signaling
425,INHBB,ACVR1B,ACTIVIN,Secreted Signaling
426,INHBB,ACVR2A,ACTIVIN,Secreted Signaling
427,INHBA_INHBB,ACVR1B_ACVR2B,ACTIVIN,Secreted Signaling
428,INHBA_INHBB,ACVR1B,ACTIVIN,Secreted Signaling
429,INHBA_INHBB,ACVR2B,ACTIVIN,Secreted Signaling
430,INHBA,ACVR1B_ACVR2B,ACTIVIN,Secreted Signaling
431,INHBA,ACVR1B,ACTIVIN,Secreted Signaling
432,INHBA,ACVR2B,ACTIVIN,Secreted Signaling
433,INHBB,ACVR1B_ACVR2B,ACTIVIN,Secreted Signaling
434,INHBB,ACVR1B,ACTIVIN,Secreted Signaling
435,INHBB,ACVR2B,ACTIVIN,Secreted Signaling
436,INHBA_INHBB,ACVR1C_ACVR2A,ACTIVIN,Secreted Signaling
437,INHBA_INHBB,ACVR1C,ACTIVIN,Secreted Signaling
438,INHBA_INHBB,ACVR2A,ACTIVIN,Secreted Signaling
439,INHBA,ACVR1C_ACVR2A,ACTIVIN,Secreted Signaling
440,INHBA,ACVR1C,ACTIVIN,Secreted Signaling
441,INHBA,ACVR2A,ACTIVIN,Secreted Signaling
442,INHBB,ACVR1C_ACVR2A,ACTIVIN,Secreted Signaling
443,INHBB,ACVR1C,ACTIVIN,Secreted Signaling
444,INHBB,ACVR2A,ACTIVIN,Secreted Signaling
445,INHBA_INHBB,ACVR1C_ACVR2B,ACTIVIN,Secreted Signaling
446,INHBA_INHBB,ACVR1C,ACTIVIN,Secreted Signaling
447,INHBA_INHBB,ACVR2B,ACTIVIN,Secreted Signaling
448,INHBA,ACVR1C_ACVR2B,ACTIVIN,Secreted Signaling
449,INHBA,ACVR1C,ACTIVIN,Secreted Signaling
450,INHBA,ACVR2B,ACTIVIN,Secreted Signaling
451,INHBB,ACVR1C_ACVR2B,ACTIVIN,Secreted Signaling
452,INHBB,ACVR1C,ACTIVIN,Secreted Signaling
453,INHBB,ACVR2B,ACTIVIN,Secreted Signaling
454,INHA_INHBA,ACVR2A,ACTIVIN,Secreted Signaling
455,INHA,ACVR2A,ACTIVIN,Secreted Signaling
456,INHBA,ACVR2A,ACTIVIN,Secreted Signaling
457,INHA_INHBB,ACVR2B,ACTIVIN,Secreted Signaling
458,INHA,ACVR2B,ACTIVIN,Secreted Signaling
459,INHBB,ACVR2B,ACTIVIN,Secreted Signaling
